452[99],Ladbroke Grove,Vauxhall bus station,RATP Dev Transit London,Extended from Wandsworth Road railway station to Vauxhall bus station on 19 November 2016.[100]Temporarily withdrawn between Kensal Rise railway station and Ladbroke Grove until further notice due to road layout changes at the bus stand at Kensal Rise railway station by the London Borough of Brent.[101]
453,Marylebone station,Deptford Bridge DLR station,Go-Ahead London,24-hour operation.
456,North Middlesex University Hospital,Crews Hill,Go-Ahead London,
460,North Finchley bus station,Willesden bus garage,Metroline,
462,Ilford,Hainault,Stagecoach London,Crosses border into Essex at Grange Hill tube station.[102]
463[67],Pollards Hill,Coulsdon South railway station,Go-Ahead London,
464,Tatsfield,New Addington tram stop,Transport UK London Bus,
465,Kingston upon Thames,Dorking,Transport UK London Bus,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.[103]
466,Caterham on the HillOasis Academy Coulsdon (schoolday journeys)[104],Addington Village Interchange,Arriva London,
467,HookHinchley Wood School (schoolday journeys from Epsom)[105],EpsomEpsom Hospital (schoolday journeys from Hook)[106],RATP Dev Transit London,
468,Elephant and Castle,South Croydon,Arriva London,
469,Queen Elizabeth Hospital,Erith,Go-Ahead London,Extended from Bexleyheath Shopping Centre to Queen Elizabeth Hospital on 24 January 2009.[38]
470,Colliers Wood tube station,Sutton railway station,Go-Ahead London,
472,North Greenwich bus station,Abbey Wood railway station,Stagecoach London,24-hour operation.[21]
473[25],Stratford bus station,North Woolwich,Go-Ahead London,
474,Canning Town,Manor Park railway station,Stagecoach London,24-hour operation.[29]
476,Northumberland Park railway station,London King's Cross railway station,Go-Ahead London,
481,West Middlesex University Hospital,Kingston upon Thames,Metroline,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.[107]
481D,Whitton,Kingston upon Thames,Transport UK London Bus,Schoolday journeys only.Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.[108]
482,Southall Town Hall,Heathrow Terminal 5,Transport UK London Bus,
483,Harrow bus station,Windmill Park,Metroline,
484,Camberwell Green,Lewisham station,Go-Ahead London,
485,Southside Wandsworth,Castelnau,Go-Ahead London,Temporarily withdrawn between Castelnau and Hammersmith bus station until further notice due to the closure of Hammersmith Bridge.[109]Route serves the WWT London Wetland Centre in both directions during opening hours.[110]
486,Bexleyheath Shopping Centre,North Greenwich bus station,Go-Ahead London,24-hour operation.[111]
487,Willesden Junction station,South Harrow tube station,Metroline,
488,Bromley-by-Bow,Dalston,Stagecoach London,
490,Pools on the Park,Heathrow Terminal 5,Transport UK London Bus,
491,North Middlesex University Hospital,Waltham Cross,Metroline,
492,Bluewater Shopping Centre,Sidcup railway station,Arriva London,
493,St George's Hospital,Richmond bus station,Go-Ahead London,
496,Queen's Hospital,Harold Wood,Stagecoach London,
498[54],Queen's Hospital,Brentwood,Stagecoach London,Introduced on 26 December 2005.[112]
499,Gallows Corner,loop service via Heath Park Estate,Stagecoach London,
Route,Start,End,Operator,Notes
533[113],Hammersmith bus station,loop service via Castelnau,Go-Ahead London,"A temporary route replacing routes 33, 72, 209 and 485 until further notice due to the closure of Hammersmith Bridge.[114]"
549,Loughton tube station,South Woodford tube station,Sullivan Buses[115],"Frequency reduced from a bus every 67 minutes to a bus every 90 minutes on 12 March 2022.[116]To be withdrawn on 7 September 2024, being replaced by a restructured version of route W14.[117]"
Route,Start,End,Schools,Operator,Notes
601[49],Thamesmead,Wilmington Academy,Wilmington Academy,Go-Ahead London,
602,Thamesmead,Townley Grammar School,Townley Grammar School,Stagecoach London,
603[119],Swiss Cottage tube station,Muswell Hill,N/A,Metroline,
605,Burnt Oak tube station,Totteridge & Whetstone tube station,Mill Hill County High School,Sullivan Buses,
606,Queensbury tube station,The Totteridge Academy,"The Totteridge AcademyQueen Elizabeth's School, Barnet",Sullivan Buses,
608[120],Gallows Corner,Shenfield High School,Shenfield High School,Go-Ahead London,
612,Selsdon,Wallington County Grammar School,Wallington County Grammar SchoolRiddlesdown CollegiateThe John Fisher SchoolWallington High School for Girls,Arriva London,
613,Tolworth railway station,Glenthorne High School,Glenthorne High School,RATP Dev Transit London,
616,Winchmore Hill,Edmonton Green bus station,The Latymer School,Stagecoach London,
617[30],Turnpike Lane bus station,Turkey Street railway station,St Ignatius College,Sullivan Buses,
621,Lewisham station,Stationers' Crown Woods Academy,Stationers' Crown Woods Academy,Stagecoach London,
624,Grove Park railway station,Stationers' Crown Woods AcademyWelling (1 bus eastbound only),Stationers' Crown Woods Academy,Go-Ahead London,
625,Plumstead Common,Chislehurst,N/A,Go-Ahead London,
626,Finchley Central tube station,Dame Alice Owen's School,Dame Alice Owen's School,Metroline,
627,Wallington High School for Girls,Worcester Park railway station,Wallington High School for Girls,Arriva London,
628,JFS,Southgate tube station,JFS,Uno,Runs one way to Southgate tube station only.
629[30],Turkey Street railway station,Wood Green bus garage,St Ignatius College,Sullivan Buses,
631[121],Golders Green tube station,Henrietta Barnett School,Henrietta Barnett School,Metroline,
632,Grahame Park,Kilburn Park tube station,St James' Catholic High School,Metroline,
633,Pollards Hill,Coulsdon South railway station,Woodcote High School,Go-Ahead London,Transferred from Quality Line to Go-Ahead London on 3 April 2021.[67]Extended from Wallington to Pollards Hill on 4 January 2022.[122]
634,Muswell Hill,Chipping Barnet,"Queen Elizabeth's School, Barnet",Metroline,
635,St Paul's College,Hounslow bus station,St Paul's College,Metroline,
638,Coney Hall,Kemnal Technology College,Chislehurst School for GirlsKemnal Technology CollegeCoopers SchoolEltham College,Stagecoach London,
639,Roehampton,St John Bosco College,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021[67] and transferred from RATP Dev Transit London to Transport UK London Bus on 8 June 2024.
640,South Harrow tube station,Bentley Wood High School,Whitmore High SchoolSalvatorian CollegeSacred Heart Language CollegeBentley Wood High School,Sullivan Buses,
642[30],West Hendon,London Academy,London Academy,Metroline,
643,Brent Cross bus station,Christ's College Finchley,Christ's College Finchley,Uno,
645,Purley Cross,Waddon,N/A,Arriva London,Introduced on 4 January 2022 to replace route 405D.[122]
646,Noak Hill,Cranham,N/A,Go-Ahead London,
649,Romford bus garage,The Campion School,The Campion School,Go-Ahead London,
650,Romford bus garage,Emerson Park Academy,Emerson Park Academy,Go-Ahead London,
651,Romford railway station,Chase Cross,Bower Park Academy,Go-Ahead London,
652,Rainham,Upminster station,Sanders Draper SchoolHavering Sixth Form CollegeThe Brittons AcademyHarris Academy Rainham,Go-Ahead London,
653,JFS,Muswell Hill,JFS,Uno,
654,Addington Village Interchange,Ramsden,Harris Academy OrpingtonRavens Wood School,Go-Ahead London,
655,Mitcham,Raynes Park High School,Raynes Park High School,RATP Dev Transit London,
656,Gallows Corner,Emerson Park Academy,Emerson Park Academy,Go-Ahead London,
657,Salisbury Hall,Bancroft's School,Trinity Catholic High SchoolBancroft's School,Go-Ahead London,
658,Woolwich Arsenal station,Stationers' Crown Woods Academy,Stationers' Crown Woods Academy,Go-Ahead London,
660,Stationers' Crown Woods Academy,Catford bus garage,Stationers' Crown Woods Academy,Stagecoach London,
661,Chislehurst,Petts Wood railway station,Eltham CollegeCoopers School,Stagecoach London,
662,Surbiton railway station,Holy Cross School,Holy Cross School,RATP Dev Transit London,
663[55],Thornton Heath railway station,Harris Academy Purley,Harris Academy Purley[123],Go-Ahead London,
664,New Addington,Charles Darwin School,Charles Darwin SchoolRavens Wood School,Go-Ahead London,
665,Surbiton,Holy Cross School,Holy Cross School,RATP Dev Transit London,
667,Ilford,West Hatch High School,West Hatch High School,Stagecoach London,
669,Thamesmead,Cleeve Park School,Cleeve Park School,Stagecoach London,
670[124],Roehampton,St John Bosco College,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021[67] and transferred from RATP Dev Transit London to Transport UK London Bus on 8 June 2024.
671,Chessington South railway station,Tiffin Girls' School,Tiffin Girls' School,Transport UK London Bus,
672,Thamesmead,Beresford Square,Hawksmoor Primary School,Stagecoach London,
673,The Warren School,Beckton bus station,The Warren School,Stagecoach London,Runs one way to Beckton bus station only.
674,Romford railway station,Harold Hill,Royal Liberty School,Stagecoach London,
675,St. James Street railway station,Woodbridge High School,Woodbridge High School,Arriva London,
677,Ilford,Debden,Davenant Foundation School,Go-Ahead London,
678[30],Beckton bus station,Stratford bus station,St Angela's Ursuline SchoolSt Bonaventure'sForest Gate Community SchoolStratford School,Stagecoach London,
679,Goodmayes,Woodford Wells,Woodford County High School For GirlsTrinity Catholic High SchoolBancroft's School,Go-Ahead London,
681,Hounslow bus station,Teddington School,Teddington School,RATP Dev Transit London,
683,Friern Barnet,JFS,JFS,Uno,
684,Orpington railway station,Charles Darwin School,Charles Darwin School,Stagecoach London,
685,Warlingham School,Selsdon,Warlingham SchoolRiddlesdown Collegiate,Arriva London,Runs one way to Selsdon only.
686,Romford railway station,St Edward's Church of England Academy,St Edward's Church of England Academy,Go-Ahead London,Afternoon journeys from St Edward's Church of England Academy terminate at Harold Hill.
687[67],Dagenham Park Church of England School,Barking station,Dagenham Park Church of England School,Go-Ahead London,
688,Southgate tube station,JFS,JFS,Uno,
689,West Croydon bus station,Monks Orchard,Orchard Park High School,Arriva London,
690,Burntwood School,Norwood bus garage,Burntwood School,Go-Ahead London,
696,Hayes,Bishop Ramsey School,Bishop Ramsey School,RATP Dev Transit London,
697,The Douay Martyrs School,Hayes End,The Douay Martyrs School,RATP Dev Transit London,Morning journeys from Hayes End terminate at Ickenham tube station.
698,The Douay Martyrs School,West Drayton,The Douay Martyrs School,RATP Dev Transit London,Morning journeys from West Drayton terminate at Ickenham tube station.
699[120],Winchmore Hill,Dame Alice Owen's School,Dame Alice Owen's School,Uno,
Route,Start,End,Operator,Notes
969,Whitton,Roehampton Vale,Transport UK London Bus,Operates one return journey on Tuesdays and Fridays only.[125][126]
Route,Start,End,Operator,Letter code,Notes
A10[127],Uxbridge tube station,Heathrow Central bus station,Metroline,Heathrow Airport,
B11,Bexleyheath bus garage,South Thamesmead,Go-Ahead London,Bexleyheath,
B12,Erith,Joyden's Wood,Go-Ahead London,Bexleyheath,"Extended from Bexleyheath Shopping Centre to Joyden's Wood on 24 January 2009.[38]Runs in a loop in Joyden's Wood via Dartford Road, Old Bexley Lane, Oakfield Lane, Leyton Cross Road, Birchwood Road, Summerhouse Drive, Tile Kiln Lane and Baldwyn's Park, exiting the loop at the junction with Baldwyn's Park and Dartford Road. Runs the loop in reverse after 12:00.[128]"
B13,Bexleyheath Shopping Centre,New Eltham railway station,Go-Ahead London,Bexleyheath,
B14,Bexleyheath Shopping Centre,Orpington railway station,Stagecoach London,Bexleyheath,
B15,Bexleyheath Shopping Centre,Horn Park,Arriva London,Bexleyheath,
B16,Bexleyheath bus garage,Kidbrooke,Go-Ahead London,Bexleyheath,
C1,London Victoria station,White City bus station,RATP Dev Transit London,Central London,
C3,Clapham Junction railway station,Earl's Court,Transport UK London Bus,Chelsea,
C10,London Victoria station,Canada Water bus station,Transport UK London Bus,Central London,
C11,Archway tube station,Brent Cross bus station,Metroline,Cricklewood,
D3,Bethnal Green,Leamouth,Go-Ahead London,London Docklands,
D6,Ash Grove bus garage,Cubitt Town,Stagecoach London,London Docklands,
D7,Mile End tube station,All Saints Church,Stagecoach London,London Docklands,
D8,Cubitt Town,Stratford bus station,Stagecoach London,London Docklands,
E1,Ealing Broadway station,Greenford Broadway,Metroline,Ealing,
E2,Brentford,Greenford Broadway,Metroline,Ealing,
E3,Chiswick,Greenford Broadway,RATP Dev Transit London,Ealing,
E5,Perivale,Southall,Transport UK London Bus,Dormers Wells,
E6,Bulls Bridge,Greenford Broadway,Transport UK London Bus,Yeading,Temporarily withdrawn between Greenford station and Greenford Broadway until 20:00 on 17 August 2024 due to gas works on Oldfield Lane North.[129]
E7,Ealing Broadway station,Ruislip tube station,Transport UK London Bus,Ealing,Runs via Wood Lane in Ruislip during shopping hours.[130]
E8,Ealing Broadway station,Hounslow,Metroline,Ealing,
E9,Ealing Broadway station,Yeading,Metroline,Ealing,
E10,Ealing Broadway station,Northolt,Transport UK London Bus,Ealing,
E11,Ealing Common,Greenford Broadway,Transport UK London Bus,Ealing,
G1,Shaftesbury Park Estate,Norbury,Go-Ahead London,St George's Hospital,
H2[113],Golders Green tube station,Circular via Hampstead Garden Suburb,Metroline,Hampstead Garden Suburb,
H3[121],East Finchley,Golders Green tube station,Metroline,Hampstead Garden Suburb,
H9[113],Northwick Park Hospital (circular),anticlockwise via Kenton station,RATP Dev Transit London,Harrow,
H10[113],Northwick Park Hospital (circular),clockwise via South Harrow tube station,RATP Dev Transit London,Harrow,
H11,Harrow bus station,Mount Vernon Hospital,RATP Dev Transit London,Harrow,
H12,South Harrow tube station,Stanmore tube station,RATP Dev Transit London,Hatch End,
H13,Northwood Hills,Ruislip Lido,Metroline,Ruislip,
H14,Northwick Park Hospital,Hatch End,RATP Dev Transit London,Harrow,
H17,Harrow bus station,Wembley Central station,Metroline,Harrow,
H18[113],Harrow bus station (circular),clockwise via North Harrow,RATP Dev Transit London,Harrow,
H19[113],Harrow bus station (circular),anticlockwise via Kenton station,RATP Dev Transit London,Harrow,Route terminates at St George's Shopping Centre instead of Harrow bus station.[131]
H20,Hounslow,Ivybridge,Transport UK London Bus,Hounslow,
H22,Hounslow,West Middlesex University Hospital,RATP Dev Transit London,Hounslow,
H25,Hanworth,Hatton Cross tube station,Transport UK London Bus,Hatton,
H26,Feltham,Hatton Cross tube station,Transport UK London Bus,Hatton,
H28[132],Bulls Bridge,Osterley,Transport UK London Bus,Hounslow,
H32,Southall Town Hall,Hounslow bus station,Transport UK London Bus,Hounslow,
H37,Richmond,Hounslow,RATP Dev Transit London,Hounslow,
H91,Hammersmith bus station,Hounslow West tube station,Metroline,Hounslow,
H98,Hayes End,Hounslow bus station,RATP Dev Transit London,Hounslow,
K1[133],Kingston upon Thames,New Malden railway station,RATP Dev Transit London,Kingston upon Thames,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.[134]
K2[135],Kingston Hospital,Hook,RATP Dev Transit London,Kingston upon Thames,
K3[135],Roehampton Vale,Esher,RATP Dev Transit London,Kingston upon Thames,
K4,Mansfield Park Estate,Kingston Hospital,RATP Dev Transit London,Kingston upon Thames,
K5,Morden tube station,Ham,RATP Dev Transit London,Kingston upon Thames,
P4,Lewisham station,Brixton tube station,Go-Ahead London,Dulwich,
P5,Elephant and Castle,Patmore Estate,Transport UK London Bus,Clapham,
P12,Surrey Quays Shopping Centre,Brockley Rise,Go-Ahead London,Peckham,
P13,New Cross,Streatham railway station,Transport UK London Bus,Peckham,
R1,Green Street Green,St Paul's Cray,Go-Ahead London,Orpington,
R2,Orpington,Biggin Hill Valley,Go-Ahead London,Orpington,
R3,Princess Royal University Hospital,Orpington railway station,Go-Ahead London,Orpington,
R4,Princess Royal University Hospital,Paul's Cray Hill,Go-Ahead London,Orpington,
R5[24][113],Orpington railway station (circular),clockwise via Knockholt,Go-Ahead London,Orpington,
R6,Orpington railway station,St Mary Cray railway station,Go-Ahead London,Orpington,"To be withdrawn on 29 March 2025, being replaced by a reroute of route B14.[136]"
R7,Chelsfield Village,Chislehurst,Go-Ahead London[137],Orpington,
R8,Orpington railway station,Biggin Hill,Go-Ahead London,Orpington,
R9,Orpington railway station,Ramsden,Go-Ahead London,Orpington,
R10[24][113],Orpington railway station (circular),anticlockwise via Cudham,Go-Ahead London,Orpington,
R11,Green Street Green,Queen Mary's Hospital,Go-Ahead London,Orpington,
R68,Hampton Court railway station,Kew,Transport UK London Bus,Richmond,
R70,Richmond,Hampton,Transport UK London Bus,Richmond,
S1,Lavender Fields,Banstead,Go-Ahead London,Sutton,
S2,St Helier railway station,Epsom,Go-Ahead London,Sutton,
S3,Belmont railway station,Malden Manor railway station,Transport UK London Bus,Sutton,
S4,Sutton,Waddon Marsh tram stop,Transport UK London Bus,Sutton,
U1,Ruislip tube station,West Drayton railway station,Metroline,Uxbridge,
U2,Uxbridge tube station,Brunel University,Metroline,Uxbridge,Runs via Hillingdon tube station.[138]Runs via Leybourne Road in North Hillingdon during Monday-Saturday shopping hours.[139]
U3,Uxbridge tube station,Heathrow Central bus station,Metroline,Uxbridge,
U4,Uxbridge tube station,Hayes,Metroline,Uxbridge,
U5,Uxbridge,Hayes,Transport UK London Bus,Uxbridge,
U7,Uxbridge tube station,Hayes,Transport UK London Bus,Uxbridge,
U9,Uxbridge tube station,Harefield Hospital,Transport UK London Bus,Uxbridge,
U10[140],Uxbridge tube station,Ruislip,Metroline,Uxbridge,
W3,Finsbury Park bus station,Northumberland Park railway station,Arriva London,Wood Green,
W4,Oakthorpe Park,Tottenham Hale,Arriva London,West Green,
W5,Archway tube station,Harringay,Stagecoach London,Crouch End,
W6,Southgate tube station,Edmonton Green bus station,Arriva London,Palmers Green,
W7[141],Finsbury Park bus station,Muswell Hill,Metroline,Crouch End,
W8,Lee Valley Leisure Complex,Chase Farm Hospital,Metroline,Enfield Town,
W9,Southgate tube station,Chase Farm Hospital,Sullivan Buses,Enfield Town,
W11,Walthamstow bus station,Chingford Hall Estate,Stagecoach London,Walthamstow,
W12,Walthamstow,Wanstead,Stagecoach London,Walthamstow,
W13,Leytonstone bus station,Woodford Wells,Stagecoach London,Woodford,
W14,Leyton Mills,Woodford Bridge,Stagecoach London,Woodford,
W15,Hackney Town Hall,Higham Hill,Go-Ahead London,Walthamstow,
W16,Leytonstone bus station,Chingford Mount,Stagecoach London,Highams Park,
W19,Walthamstow,Ilford,Stagecoach London,Walthamstow,
Route,Start,End,Operator,Notes
EL1,Barking Riverside,Ilford,Go-Ahead London,24-hour operation.[29]Originally numbered 369 until 20 February 2010.
EL2,Becontree Heath,Dagenham Dock,Go-Ahead London,
EL3,Barking Riverside,Little Heath,Go-Ahead London,Originally numbered 387 until 18 February 2017.[142]
Route,Start,End,Operator,Notes
SL1,North Finchley bus station,Walthamstow bus station,Arriva London,
SL2,Walthamstow bus station,North Woolwich,Arriva London,
SL3,Thamesmead,Bromley North railway station,Stagecoach London,
SL5,Bromley North railway station,Croydon,Arriva London,
SL6,Russell Square,West Croydon bus station,Go-Ahead London,"Runs non-stop between Waterloo and West Norwood.Runs only on weekdays during peak hours only.Runs towards Russell Square in the morning peak, and runs towards West Croydon bus station in the evening peak."
SL7,West Croydon bus station,Heathrow Central bus station,Go-Ahead London,
SL8,Uxbridge tube station,White City bus station,Metroline,
SL9,Heathrow Central bus station,Harrow bus station,RATP Dev Transit London,
SL10,Harrow bus station,North Finchley bus station,RATP Dev Transit London,
Route,Start,End,Operator
N1,Tottenham Court Road station,
N2,Marylebone station,
N3,Oxford Circus,
N5,Trafalgar Square,
N7,Oxford Circus,
N8,Oxford Circus,
N9,Aldwych,
N11,Whitehall,
N15,Oxford Circus,
N18,Trafalgar Square,
N19,Finsbury Park bus station,
N20,Trafalgar Square,
N21,Trafalgar Square,
N22,Oxford Circus,
N25,Oxford Circus,
N26,London Victoria station,
N27,Chalk Farm,
N28,Southside Wandsworth,
N29,Trafalgar Square,
N31,Clapham Junction railway station,
N32,London Victoria station,
N33,Hammersmith bus station,
N38,Victoria bus station,
N41,Trafalgar Square,
N44,Aldwych,
N53,Whitehall,
N55,Oxford Circus,
N63,London King's Cross railway station,
N65,Ealing Broadway station,
N68,Tottenham Court Road station,
N72,Roehampton,
N73,Oxford Circus,
N74,Baker Street tube station,
N83,Golders Green tube station,
N86,Stratford bus station,
N87,Aldwych,
N89,Trafalgar Square,
N91,Trafalgar Square,
N97,Trafalgar Square,
N98,Red Lion Square,
N109,Oxford Circus,
N113,Trafalgar Square,
N133,Liverpool Street bus station,
N136,Oxford Circus,
N137,Oxford Circus,
N140,Heathrow Central bus station,
N155,Aldwych,
N171,Tottenham Court Road station,
N199,Trafalgar Square,
N205,Paddington,
N207,Bloomsbury Square,
N242,Tottenham Court Road station,
N250,Fairfield Halls,
N253,Tottenham Court Road station,
N266,Hammersmith bus station,
N271,Tally Ho Corner,
N277,Islington,
N279,Trafalgar Square,
N343,Trafalgar Square,
N381,Whitehall,
N550,Trafalgar Square,
N551,Trafalgar Square,
